vector,sample,time_hours,raw_delta_R,filtered_delta_R,slope,stable_count,expected_state
Vector_A_Stable,0,0.0,0.0,0.0,0.0,0,MEASURING
Vector_A_Stable,1,1.0,-0.0001,-5e-05,0.0,0,MEASURING
Vector_A_Stable,2,2.0,-0.001,-0.00036666666666666667,-0.00036666666666666667,0,MEASURING
Vector_A_Stable,3,3.0,-0.0025,-0.0012,-0.00115,0,ANALYZING
Vector_A_Stable,4,4.0,-0.003,-0.002166666666666667,-0.0018000000000000004,0,ANALYZING
Vector_A_Stable,5,5.0,-0.0031,-0.0028666666666666667,-0.0016666666666666668,0,ANALYZING
Vector_A_Stable,6,6.0,-0.0031,-0.0030666666666666668,-0.0008999999999999998,0,ANALYZING
Vector_A_Stable,7,7.0,-0.0031,-0.0031,-0.00023333333333333322,1,STABLE
Vector_A_Stable,8,8.0,-0.0031,-0.0031,-3.333333333333313e-05,2,STOP
Vector_B_Diverging,0,0.0,0.0,0.0,0.0,0,MEASURING
Vector_B_Diverging,1,1.0,-0.0005,-0.00025,0.0,0,MEASURING
Vector_B_Diverging,2,2.0,-0.002,-0.0008333333333333334,-0.0008333333333333334,0,MEASURING
Vector_B_Diverging,3,3.0,-0.005,-0.0025,-0.0022500000000000003,0,ANALYZING
Vector_B_Diverging,4,4.0,-0.009,-0.005333333333333333,-0.0045,0,ANALYZING
Vector_B_Diverging,5,5.0,-0.014,-0.009333333333333332,-0.006833333333333332,0,ANALYZING
Vector_B_Diverging,6,6.0,-0.02,-0.014333333333333332,-0.008999999999999998,0,ANALYZING
Vector_B_Diverging,7,7.0,-0.027,-0.02033333333333333,-0.011,0,ANALYZING
Vector_C_Noisy,0,0.0,0.0,0.0,0.0,0,MEASURING
Vector_C_Noisy,1,1.0,0.002,0.001,0.0,0,MEASURING
Vector_C_Noisy,2,2.0,-0.0015,0.00016666666666666666,0.00016666666666666666,0,MEASURING
Vector_C_Noisy,3,3.0,0.003,0.0011666666666666668,0.00016666666666666674,1,STABLE
Vector_C_Noisy,4,4.0,-0.002,-0.00016666666666666666,-0.0003333333333333333,0,ANALYZING
Vector_C_Noisy,5,5.0,0.0025,0.0011666666666666668,0.0,1,STABLE
Vector_C_Noisy,6,6.0,-0.001,-0.00016666666666666666,0.0,2,STOP
Vector_C_Noisy,7,7.0,0.003,0.0015000000000000002,0.0003333333333333335,0,ANALYZING
Vector_D_Quiet,0,0.0,0.0,0.0,0.0,0,MEASURING
Vector_D_Quiet,1,1.0,1e-05,5e-06,0.0,0,MEASURING
Vector_D_Quiet,2,2.0,0.0,3.3333333333333337e-06,3.3333333333333337e-06,0,MEASURING
Vector_D_Quiet,3,3.0,-1e-05,0.0,-5e-06,0,MEASURING
Vector_D_Quiet,4,4.0,1e-05,0.0,-3.3333333333333337e-06,0,MEASURING
Vector_D_Quiet,5,5.0,0.0,0.0,0.0,0,MEASURING
Vector_D_Quiet,6,6.0,1e-05,6.6666666666666675e-06,6.6666666666666675e-06,0,MEASURING
Vector_D_Quiet,7,7.0,0.0,3.3333333333333337e-06,3.3333333333333337e-06,0,MEASURING
Vector_E_TransientSpike,0,0.0,0.0,0.0,0.0,0,MEASURING
Vector_E_TransientSpike,1,1.0,-0.0001,-5e-05,0.0,0,MEASURING
Vector_E_TransientSpike,2,2.0,-0.0002,-0.0001,-0.0001,0,MEASURING
Vector_E_TransientSpike,3,3.0,-0.005,-0.0017666666666666666,-0.0017166666666666667,0,ANALYZING
Vector_E_TransientSpike,4,4.0,-0.0002,-0.0017999999999999997,-0.0016999999999999997,0,ANALYZING
Vector_E_TransientSpike,5,5.0,-0.0001,-0.0017666666666666666,0.0,1,STABLE
Vector_E_TransientSpike,6,6.0,-0.0001,-0.00013333333333333334,0.0016666666666666663,0,ANALYZING
Vector_E_TransientSpike,7,7.0,-0.0001,-0.0001,0.0016666666666666666,0,ANALYZING
Vector_F_ElmerFEM,0,0.0,0.0,0.0,0.0,0,MEASURING
Vector_F_ElmerFEM,1,2.5,-0.0004982009423315,-0.00024910047116575,0.0,0,MEASURING
Vector_F_ElmerFEM,2,5.0,-0.0017905715556429,-0.0007629241659914667,-0.0007629241659914667,0,MEASURING
Vector_F_ElmerFEM,3,7.5,-0.0047690454143611,-0.0023526059707785,-0.00210350549961275,0,ANALYZING
Vector_F_ElmerFEM,4,10.0,-0.0096043030738348,-0.005387973347946266,-0.004625049181954799,0,ANALYZING
